,파일명,권수,트랙번호,제목,작곡자
0,"Vol 01 - Track  1 - Twinkle, Twinkle, Little Star Variations. - S. Suzuki.mp3",Vol 01,Track  1,"Twinkle, Twinkle, Little Star Variations.",S. Suzuki
1,Vol 01 - Track  2 - Lightly Row.  - Folk Song.mp3,Vol 01,Track  2,Lightly Row.,Folk Song
2,Vol 01 - Track  3 - Song of the Wind.  - Folk Song.mp3,Vol 01,Track  3,Song of the Wind.,Folk Song
3,Vol 01 - Track  4 - Go Tell Aunt Rhody.  - Folk Song.mp3,Vol 01,Track  4,Go Tell Aunt Rhody.,Folk Song
4,Vol 01 - Track  5 - O Come Little Children.  - Folk Song.mp3,Vol 01,Track  5,O Come Little Children.,Folk Song
5,Vol 01 - Track  6 - May Song.  - Folk Song.mp3,Vol 01,Track  6,May Song.,Folk Song
6,"Vol 01 - Track  7 - Long, Long Ago.  - T.H. Bayly.mp3",Vol 01,Track  7,"Long, Long Ago.",T.H. Bayly
7,Vol 01 - Track  8 - Allegro.  - S. Suzuki.mp3,Vol 01,Track  8,Allegro.,S. Suzuki
8,Vol 01 - Track  9 - Perpetual Motion.  - S. Suzuki.mp3,Vol 01,Track  9,Perpetual Motion.,S. Suzuki
9,Vol 01 - Track10 - Allegretto.  - S. Suzuki.mp3,Vol 01,Track10,Allegretto.,S. Suzuki
10,Vol 01 - Track11 - Andantino.  - S. Suzuki.mp3,Vol 01,Track11,Andantino.,S. Suzuki
11,Vol 01 - Track12 - Etude.  - S. Suzuki.mp3,Vol 01,Track12,Etude.,S. Suzuki
12,Vol 01 - Track13 - Minuet 1 - J.S. Bach.mp3,Vol 01,Track13,Minuet 1,J.S. Bach
13,Vol 01 - Track14 - Minuet 2 - J.S.Bach.mp3,Vol 01,Track14,Minuet 2,J.S.Bach
14,Vol 01 - Track15 - Minuet 3. - J.S. Bach.mp3,Vol 01,Track15,Minuet 3.,J.S. Bach
15,Vol 01 - Track16 - The Happy Farmer. - R. Schumann.mp3,Vol 01,Track16,The Happy Farmer.,R. Schumann
16,Vol 01 - Track17 - Gavotte. - F.J. Gossec.mp3,Vol 01,Track17,Gavotte.,F.J. Gossec
